idqr	status	status_lock	startdate	enddate	lastact	loi	lastlogic	lastq	hist	ip	ssid	machine	sinvite	stype	survey_m	rd_name	rd_tel	QUOTA_GENDER	QUOTA_AGE	QUOTA_LOCATION	QUOTA_GBKK	QUOTA_SES	QUOTA_BUMO	s1	s2	s3	s3_1	s3_2	s3_3	s4	s5	s6	s7ar1001	s7ar1002	s7ar1003	s7ar1004	s7ar1999	s7ar2001	s7ar2002	s7ar2003	s7ar2004	s7ar2005	s7ar2006	s7ar2007	s7ar2008	s7ar2009	s7ar2010	s7ar2011	s7ar2012	s7ar2999	s7ar3001	s7ar3002	s7ar3003	s7ar3004	s7ar3999	s7ar4000	s7ar5000	s7ar6000	s7ar7000	s7ar8000	s7ar9000	s7ar1000	s7ar1100	s7ar1200	s7ar1300	s7ar99	s7br1001	s7br1002	s7br1003	s7br1004	s7br1999	s7br2001	s7br2002	s7br2003	s7br2004	s7br2005	s7br2006	s7br2007	s7br2008	s7br2009	s7br2010	s7br2011	s7br2012	s7br2999	s7br3001	s7br3002	s7br3003	s7br3004	s7br3999	s7br4000	s7br5000	s7br6000	s7br7000	s7br8000	s7br9000	s7br1000	s7br1100	s7br1200	s7br1300	s7c	s7dr1001	s7dr1002	s7dr1003	s7dr1004	s7dr1999	s7dr2001	s7dr2002	s7dr2003	s7dr2004	s7dr2005	s7dr2006	s7dr2007	s7dr2008	s7dr2009	s7dr2010	s7dr2011	s7dr2012	s7dr2999	s7dr3001	s7dr3002	s7dr3003	s7dr3004	s7dr3999	s7dr4000	s7dr5000	s7dr6000	s7dr7000	s7dr8000	s7dr9000	s7dr1000	s7dr1100	s7dr1200	s7dr1300	s7dr99	cell	s8	s9	s10	l0	cell1	cell2	cell3	cell4	q0	q1_1	q2_1	q3_1	q4_1	q5_1	q6_1	q7_1	q8_1	q9_1	q1_2	q2_2	q3_2	q4_2	q5_2	q6_2	q7_2	q8_2	q9_2	q1_3	q2_3	q3_3	q4_3	q5_3	q6_3	q7_3	q8_3	q9_3	q1_4	q2_4	q3_4	q4_4	q5_4	q6_4	q7_4	q8_4	q9_4	q10a1	q10a2	q10a3	q10a4	q11a1	q11a2	q11a3	q11a4	q12	q13	q14	n0	cellp1	cellp2	cellp3	cellp4	q15_1	q15_2	q15_3	q15_4	q16a1	q16a2	q16a3	q16a4
100	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_4;q4_4;q1_3;q4_3;q1_2;q4_2;q1_1;q4_1;q10;q11;q13;n0;q15_4;q15_3;q15_2;q15_1;q16;q12;	115.87.49.85	979024779	"Browser:Chrome, Version:145.0.7632.79, OS:Android, OSVer:10, isMobile:true, Screen:Current Resolution: 534x854, Available Resolution: 534x854, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			อรุณี บัวชุม	657596187	1	1	4	3	1	1	2	2	4	4	9	2	5	4	2	1	1	1				0		0	0									1	1	1			1	0									0	1	1																	1	1														1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	1	12	4	3	2	1	1	5	5	5	1	5	5	5	5	5	5	5	4	1	5	4	5	5	5	6	5	5	1	5	5	5	4	4	7	5	5	1	5	5	5	5	5	4	3	1	2	4	3	1	2	A-ลายบนพื้นสีชมพูมีดวงกลมๆคล้ายไฟในสถานบันเทิงเหมาะกับการดื่มในงานปาร์ตี้หรือสถานบันเทิง B-ตัวหนังสือบนสีชมพูดูเป็นศิลปะ ทำให้อยากรู้และค้นหาว่ามีตัวอักษรอะไรบ้าง C-คำว่าคลาสสิคเป็นตัวเขียน ดูทันสมัยและวัยรุ่นเหมาะกับวัยรุ่นในยุคปัจจุบัน D-ตัวหนังสือคำว่าคลาสสิคดูเหมาะกับลายไทย ตัวหนังสือดูแข็งแรงตัวตรงสวยงาม W-ตัวหนังสือทั้งหมดดูทันสมัยเหมาะกับวัยรุ่น X-มีความเท่ตรงคำว่าwine ตัว i เป็นรูปขวดดูเท่ดี Y-ตัว i ของคำว่า wine เป็นรูปขวดดูเท่ดีทันสมัย Z-ชอบการออกแบบตัววายเท่ดีไม่เหมือนใครไม่เคยเห็นเลย มีจุด 3 จุดและมีขีดเป็นตัว y เท่ดีมาก	2	5	12	4	3	2	1	6	6	6	7	4	3	2	1
101	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_1;q4_1;q1_2;q4_2;q1_3;q4_3;q1_4;q4_4;q10;q11;q13;n0;q15_1;q15_2;q15_3;q15_4;q16;q12;	1.47.202.221	1211593158	"Browser:Chrome, Version:145.0.7632.80, OS:Android, OSVer:15, isMobile:false, Screen:Current Resolution: 800x1280, Available Resolution: 800x1280, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			อิสริยา แก้วเอี่ยม	646478174	1	2	5	1	1	1	2	4	5	1	9	2	5	4	1	1		1																	1				1										0	1																							1										1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	1	1	1	2	3	4	1	7	5	4	1	5	5	5	5	5	7	5	4	1	5	5	5	5	5	6	5	4	1	5	5	5	5	5	7	5	4	1	5	5	5	5	5	1	2	4	3	1	2	4	3	A-มีวงกลมคล้ายฟองซ่า B-สวยหนังสือspyสีขาวตัดฉลากชมพูเห็นชัดเจน C-ฉลากมีลวดลายคล้ายลายน้ำทำให้สดชื่น D-พื่นฉลากชมพูเรียบดูแพงคำว่าspyเรียวสวยชัดเจน W-spyสีแดงตัดดำดูเป็นศิลปะสดุดตา X-คำว่าspyสีแดงพิมพ์ใหญ่เห็นชัด Y-spyตัวสีแดงใหญ่เห็นชัด Z-spyสีแดงมีลูกเล่นเพิ่ม3จุดที่ตัวyดูพรีเมี่ยม	1	4	1	1	2	3	4	7	6	6	5	1	2	3	4
102	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_1;q4_1;q1_3;q4_3;q1_4;q4_4;q1_2;q4_2;q10;q11;q13;n0;q15_1;q15_3;q15_2;q15_4;q16;q12;	1.47.202.221	1211593158	"Browser:Chrome, Version:145.0.7632.80, OS:Android, OSVer:15, isMobile:false, Screen:Current Resolution: 800x1280, Available Resolution: 800x1280, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			เก่ง แสงแจ่ม	872515184	1	2	5	3	3	1	2	4	5	3	9	2	4	3	1	1							1											1					1								1		0	1																		1															1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	1	2	1	3	4	2	1	7	5	5	1	5	5	5	5	5	6	5	4	1	5	4	4	5	5	7	5	4	1	5	5	5	5	5	7	5	4	1	5	5	5	5	5	3	4	1	2	3	4	1	2	"A-บนฉลากมีรูปคล้ายฟองอากาศทำให้ดูสดชื่น B-ฉลากมีรูปA,uเส้นบางบ้างหนาบ้างทำให้ดูเป็นสากล C-ฉลากเป็นลายก้อนเฆมดูแล้วสบายตา D-spyตัวsตัวเรียวงามตามขวดดูเด่นสะดุดตา W-spyเขียนแล้วคล้าย3มิติพื้นสีแดงตัดสีดำ X-spyพื่นสีแดงตัวใหญ่เห็นชัดเจน Y-เขียนตัวพืมพ์ใหญ่สีแดงมองเห็นชัด Z-spyเขียนดูเด่นสีแดงตัวyดูพรีเมี่ยมจากการลูกเล่น3จุด  "	1	4	2	1	3	2	4	7	6	6	7	4	1	2	3
103	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_1;q4_1;q1_4;q4_4;q1_3;q4_3;q1_2;q4_2;q10;q11;q13;n0;q15_1;q15_4;q15_2;q15_3;q16;q12;	1.47.202.221	1211593158	"Browser:Chrome, Version:145.0.7632.80, OS:Android, OSVer:15, isMobile:false, Screen:Current Resolution: 800x1280, Available Resolution: 800x1280, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			นพดล วัชรทวีคูณ	612875452	1	1	5	1	2	1	2	2	5	1	9	2	3	4	1	1		1				1												1					1								1		0	1																		1					1								1		1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	1	3	1	4	3	2	1	7	5	4	1	5	5	5	5	5	6	5	4	1	5	4	4	5	5	6	5	4	1	5	4	4	5	5	7	5	5	1	5	5	5	5	5	4	1	2	3	4	1	2	3	A-ฉลากมีวงกลมคล้ายฟองสบู่ซ่าสดชื่น B-มีการบอกปริมาณแอลกอฮอล4% ชื่อspyสีขาวเด่นชัด C-ฉลากมีลายคล้ายน้ำไหลื่อถึงความเย็นสดชื่น D-สีฉลากชมพูเรียบๆตัวหนังสื่อspyมีความอ่อนโยนค้นตา W-คำว่าspyตัวหนังสือเขียนด้วยสีแดงตัดขอบสีดำดูสวยโดดเด่น X-spyตัวพิมพ์ใหญ่สีแดงเด่นคำว่าwineตัวiเป็นรูปขวดสวยดูดี Y-spyสีแดงตัวใหญ่มองเห็นชัดเพิ่มลูกเล่นคำว่าwineตัวiเป็นรูปขวดแปลกตา Z-spyตัวใหญ่เขียนตัวพิมพ์เล็กใสลูกเล่นที่yจาก3จุดดูเป็นภาษาวัยรุ่น	1	5	3	1	4	2	3	7	5	5	6	1	4	3	2
104	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_2;q4_2;q1_1;q4_1;q1_3;q4_3;q1_4;q4_4;q10;q11;q13;n0;q15_2;q15_1;q15_3;q15_4;q16;q12;	1.47.202.221	1211593158	"Browser:Chrome, Version:145.0.7632.80, OS:Android, OSVer:15, isMobile:false, Screen:Current Resolution: 800x1280, Available Resolution: 800x1280, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			กัญญา สมบูรณ์พันธุ์	940191817	1	1	5	3	3	1	2	2	5	3	9	2	4	4	1	1		1																	1												1		0	1		1																															1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	1	4	2	1	3	4	1	6	5	4	1	5	5	4	4	5	7	5	4	1	5	5	5	5	5	6	5	4	1	5	4	4	4	4	7	5	4	1	5	5	5	5	5	2	4	3	1	2	4	3	1	A-บอก%ปริมาณแอลกอฮอล์พื้นฉลากมีรูปวงกลมสื่อถึงความซ่าสดชื่น B-สีคำว่าspyสีขาวมองเห็นเด่นชัดตัดพื้นสีชมพูดูโดดเด่น C-สีพื้นชมพูมีลายน้ำสื่อถึงความเย็นสดชื่น D-ฉลากสีชมพูไม่มีลวดลายตัดspyรูปแบบเดิมเป็นเอกลักษณ์ W-ชื่อspyสีแดงตัดเส้นด้วยสีดำทำให้คำเด่นชัด X-spyมีสีแดงเขียนตัวพิมพ์ใหญ่มองชัดเจน Y-spyพิมพ์สีแดงตัวใหญ่มองเห็นชัดเจน Z-spyสีแดงตัวใหญ่เพิ่มลูกเล่นตัวyมี3จุดทำให้ดูแปลกใหม่	1	4	4	2	1	3	4	7	6	6	7	4	1	2	3
105	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_2;q4_2;q1_3;q4_3;q1_4;q4_4;q1_1;q4_1;q10;q11;q13;n0;q15_2;q15_3;q15_4;q15_1;q16;q12;	49.229.230.207	1360897711	"Browser:Chrome, Version:145.0.7632.79, OS:Android, OSVer:13, isMobile:false, Screen:Current Resolution: 601x1007, Available Resolution: 601x1007, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			ชัญญานุช เกื้อวรกุล	909159271	1	1	5	3	2	1	2	2	5	4	9	2	3	3	1	1																							1								1		0	1																							1										1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	9	1	5	2	3	4	1	1	7	5	5	1	5	5	5	5	5	6	5	4	1	5	5	4	5	5	6	5	4	1	5	5	4	5	5	7	5	5	1	5	5	5	5	5	4	1	3	2	4	1	3	2	A - ฉลากพื้นสีชมพูมีฟองซ่าลูกกลมๆทำให้รู้สึกว่าดื่มแล้วสดชื่น B - คำว่า spy สีขาวตัวพิมพ์ใหญ่ตัดกับพื้นสีชมพู ดูสดใสดี C - ฉลากมีรูปคล้ายลายน้ำ เหมือนก้อนน้ำแข็งที่ละลายสื่อถึงความเย็นสดชื่น D - คำว่า spy ตัว S มีส่วนโค้งส่วนเว้า ดูเป็นสากล ตัดกับพื้นหลังสีชมพู ดูเข้ากันได้ดี W - คำว่า spy สีแดงตัดขอบสีดำเป็นรูปสามมิติดูหรูหรา เข้ากับยี่ห้อเครื่องดื่มได้ดี X - คำว่า spy มีสีแดงตัวใหญ่มองเห็นชัดเหมือนตัว P มีความอ่อนหวาน ดูเข้ากันกับรสชาติสปายได้ดี Y - คำว่า SPY เขียนเป็นตัวเขียนใหญ่มองเห็นชัดสื่อถึงรสชาติของ Spy Classic ได้ดี Z - Spy ตัว S เขียนด้วยความอ่อนหวาน ตัว y มีจุด 3 จุดเขียนเป็นภาษาวัยรุ่นสื่อถึงความเป็นวัยรุ่นได้ดี	1	5	5	2	3	4	1	7	7	6	7	1	4	2	3
106	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_2;q4_2;q1_4;q4_4;q1_1;q4_1;q1_3;q4_3;q10;q11;q13;n0;q15_2;q15_4;q15_1;q15_3;q16;q12;	49.229.230.207	1360897711	"Browser:Chrome, Version:145.0.7632.79, OS:Android, OSVer:13, isMobile:false, Screen:Current Resolution: 601x1007, Available Resolution: 601x1007, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			อรลออ ศิลป์วาณิช	871454092	1	2	5	3	3	1	2	4	5	4	9	2	4	3	1	1																															1		0	1																															1		1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	1	6	2	4	1	3	1	7	5	5	1	5	5	5	5	5	7	5	5	1	5	5	5	5	5	6	5	4	1	5	5	5	5	5	7	5	5	1	5	5	5	5	5	2	4	1	3	2	4	1	3	A - ฉลากสีชมพูมีวงกลมคล้ายฟองซ่าสื่อถึงความซ่าสดชื่น B - ตัวหนังสือสีขาวคำว่า Spy Classic เป็นตัวพิมพ์ดูโดดเด่นสะดุดตาชวนให้ซื้อ C - พื้นฉลากเพิ่มลายคล้ายน้ำแข็งที่ละลายแล้ว สื่อถึงความเย็นสดชื่น D - คำว่า spy สีขาวตัดพื้นสีชมพูดูหวานละมุนชวนดื่ม W - คำว่า spy สีแดงคลิบสีดำเน้นให้เห็นตัวหนังสือมีความชัดเจนสวยมากขึ้น X - คำว่า spy สีแดงพื้นๆไม่ค่อยโดดเด่นแต่คำว่า wine ตัว I มีลูกเล่นคล้ายขวดสปายทำให้ดูดีน่าซื้อมากขึ้น Y - คำว่า spy เป็นสีแดงพื้นๆไม่โดดเด่น แต่คำว่า wine ตัว I มีลูกเล่นคล้ายายขวดสปาย ทำให้ดูดี Z - คำว่า Spy เพิ่มความแปลกใหม่ด้วยวงกลม 3 วงที่ตัว y ทำให้เป็นวัยรุ่นอินเทรนด์มากขึ้น	1	5	6	2	4	1	3	7	6	7	7	1	4	3	2
107	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_3;q4_3;q1_1;q4_1;q1_4;q4_4;q1_2;q4_2;q10;q11;q13;n0;q15_3;q15_1;q15_4;q15_2;q16;q12;	49.229.186.4	1360897711	"Browser:Chrome, Version:145.0.7632.79, OS:Android, OSVer:13, isMobile:false, Screen:Current Resolution: 601x1007, Available Resolution: 601x1007, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			เพียงรัมภา เลิศกิจ	954808064	1	1	5	3	2	1	2	2	5	3	9	2	3	4	1	1																			1				1										0	1																			1														1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	13	1	7	3	1	4	2	1	7	5	5	1	5	5	5	5	5	6	5	5	1	5	5	5	5	5	7	5	5	1	5	5	5	5	5	7	5	5	1	5	5	5	5	5	3	1	4	2	3	1	4	2	A - มีรูปฟองซ่าบนฉลากสีชมพูที่ขวดทำให้ดูเป็นเครื่องดื่มที่สดชื่น B - มีคำว่าแอลกอฮอล์ 4% อยู่บนฉลากทำให้รู้ว่าเครื่องดื่มมีปริมาณแอลกอฮอล์เท่าไหร่ C - ฉลากมีรูปคล้ายก้อนน้ำแข็งที่ละลายสื่อถึงความเย็นสดชื่น  D - คำว่าสปายตัว S มีส่วนโค้งส่วนเว้าตัวหนังสือสีขาวบนพื้นหลังสีชมพูตัดกันได้ดี W - คำว่า spy ตัดขอบสีดำเป็นรูปสามมิติดูเรียบหรูดูเข้ากันกับยี่ห้อเครื่องดื่มได้ดี X - คำว่า spy มีสีแดงตัวใหญ่มองเห็นชัดเจนส่วนตัว P มีความอ่อนช้อยสีชมพูบ่งบอกถึงรสชาติของสปายได้ดี Y - คำว่า spy ตัวเขียนใหญ่มองเห็นชัดเจนสื่อถึงรสชาติของสปายได้ดี Z - คำว่า spy เป็นตัวเขียนใหญ่เขียนด้วยความอ่อน ช้อย ดูวัยรุ่นดี	1	5	7	3	1	4	2	7	7	6	7	2	1	4	3
108	FINISH		2.02603E+13	2.02603E+13	2.02603E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_3;q4_3;q1_2;q4_2;q1_1;q4_1;q1_4;q4_4;q10;q11;q13;n0;q15_3;q15_2;q15_4;q15_1;q16;q12;	49.229.186.4	1360897711	"Browser:Chrome, Version:145.0.7632.79, OS:Android, OSVer:13, isMobile:false, Screen:Current Resolution: 601x1007, Available Resolution: 601x1007, Color Depth: 24, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			พราวฝน พิมพ์ยศ	989806415	1	2	5	3	1	1	2	4	5	4	9	2	5	4	1	1										0													1										0	1																							1										1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	9	1	8	3	2	1	4	1	7	5	5	1	5	5	5	5	5	6	5	5	1	5	5	5	5	5	6	5	4	1	5	5	5	5	5	7	5	5	1	5	5	5	5	5	1	4	3	2	1	4	3	2	A - ฉลากมีฟองกลมๆคล้ายฟองซ่าสื่อถึงความสดชื่น B - ฉลากบนพื้น มีตัวอักษรภาษาอังกฤษสื่อถึงความทันสมัย C - พื้นหลังของฉลากดูคล้ายลายไทยดูงดงามอ่อนหวาน D - ฉลากพื้นหลังสีชมพูดูเรียบหรูทันสมัย W - คำว่า spy มีความเด่นชัดบนพื้นสีแดงตัดสีดำดูเป็น 3 มิติ X - คำว่า spy ตัว P มีส่วนโค้งส่วนเว้าเพิ่มความอ่อนโยนอ่อนหวาน Y - คำว่า spy ตัวหนังสือพิมพ์ใหญ่สีแดงเรียบๆดูสบายตา Z - คำว่า Spy ตัว S ตัวใหญ่เห็นชัดตัว Y มีจุด 3 จุดเพิ่มความเป็นสากลดูวัยรุ่น	1	5	8	3	2	4	1	7	6	6	7	1	4	3	2
109	FINISH		2.02602E+13	2.02602E+13	2.02602E+13		38	thank	intro;s1;s3_2;s3_3;s3;s5;s6;s7a;s7b;s7c;s7d;s8;s10;quota;l0;q0;q1_1;q4_1;q1_2;q4_2;q1_3;q4_3;q1_4;q4_4;q10;q11;q13;n0;q15_1;q15_2;q15_3;q15_4;q16;q12;	49.237.46.91	3236192859	"Browser:Chrome, Version:145.0.0.0, OS:Windows, OSVer:10, isMobile:false, Screen:Current Resolution: 1536x864, Available Resolution: 1536x816, Color Depth: 32, Device XDPI: undefined, Device YDPI: undefined, UseCookie:true"	sms			กนกพร พร้อมจันทร์	887199352	1	2	5	3	3	1	2	4	5	3	9	2	4	4	1	1																			1															1																			1														1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	1	1	1	2	3	4	1	7	5	5	1	5	5	5	5	5	6	4	4	1	5	4	4	4	4	6	4	4	1	5	5	4	5	5	7	5	5	1	5	4	5	5	5	1	4	3	2	1	4	3	2	A - รูปวงกลมที่ซ้อนๆกันดูเหมือนฟองอากาศให้ความรู้สึกซ่าสดชื่นเวลาดื่ม B - ลวดลายที่เป็นตัวหนังสือบนพื้นสีชมพูดูไม่ค่อยโดดเด่นชัดเจน สีของตัวหนังสือที่เป็นสีชมพูกลืนกับสีของพื้นฉลากไปหน่อย C - ลวดลายที่เป็นลายน้ำ ดูแล้วให้ความสบายตา ลวดลายไม่รกดี เป็นลายน้ำเหมาะกับเครื่องดื่มดี D - ลวดลายที่บนพื้นฉลากสีชมพูสวยดี ให้ความคลาสสิค ดูหรูหราดี W - ตัวหนังสือมีการเล่นลายเส้นตัดขอบสีดำ ทำให้ดูมีมิติมากขึ้น ดูตัวหนังสือโดยรวมๆเด่นมากขึ้น X - ตัว I ที่เป็นเหมือนรูปขวด ดูเก๋น่ารักดี  Y - คำว่าสปาย ตัวหนังสือดูเป็นทางการไปหน่อย ดูเรียบๆไป ไม่ค่อยมีลูกเล่นให้สะดุดตา Z - คำว่า Spy ตัว y ดูน่ารักดี ดูอินเทรนด์ดี ให้ความทันสมัย ออกแบบตัวหนังสือมีลูกเล่นน่ารักดี	2	5	1	1	2	3	4	7	6	5	7	1	4	2	3
